epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,83263.3,0.64855,0.76007,0.97766,0.47596,0.58875,0.55351,0.41759,0.91495,1.35444,1.10691,0.000122011,0.000122011,0.000122011
66,83690.1,0.65984,0.78305,0.98648,0.47079,0.61526,0.57164,0.42892,0.91244,1.31872,1.1089,0.000118714,0.000118714,0.000118714
67,84118.4,0.64379,0.73058,0.97352,0.47449,0.63534,0.57257,0.43146,0.88953,1.27018,1.10024,0.000115418,0.000115418,0.000115418
68,84548.2,0.64961,0.75016,0.97332,0.50404,0.62025,0.58646,0.43088,0.90742,1.29332,1.10669,0.000112121,0.000112121,0.000112121
69,84978.5,0.64352,0.73724,0.96988,0.45301,0.58002,0.57033,0.4112,0.9075,1.36288,1.11021,0.000108824,0.000108824,0.000108824
70,85416.5,0.66718,0.74563,0.99091,0.46129,0.66573,0.5644,0.41722,0.90368,1.4116,1.11492,0.000105528,0.000105528,0.000105528
71,85844,0.65097,0.717,0.97885,0.44829,0.62455,0.55449,0.40542,0.90305,1.45704,1.11494,0.000102231,0.000102231,0.000102231
72,86271.4,0.64638,0.69511,0.96792,0.44804,0.60581,0.53927,0.39003,0.9236,1.60284,1.13031,9.89343e-05,9.89343e-05,9.89343e-05
73,86726.4,0.6242,0.68964,0.96209,0.46067,0.58078,0.54885,0.39167,0.94162,1.54372,1.13688,9.56376e-05,9.56376e-05,9.56376e-05
74,87183,0.60873,0.73192,0.96438,0.48396,0.56114,0.56163,0.40678,0.92188,1.48052,1.11744,9.23409e-05,9.23409e-05,9.23409e-05
75,87690.6,0.64444,0.70178,0.97082,0.5366,0.5491,0.56581,0.41072,0.91032,1.36813,1.11161,8.90442e-05,8.90442e-05,8.90442e-05
